Country Name,Country Code,Region,occupational_group,occupancy_group,occupancy_category,Essential Workers,Vital Workers,Indoor Essential Workers,Indoor Vital Workers,Scaled ECA (L/s/person),Indoor Essential CADR Requirement (L/s),Indoor Vital CADR Requirement (L/s)
Afghanistan,AFG,Southern Asia,Food,Industrial,Manufacturing,4026419.0100705107,4026419.0100705107,578902.9299651341,578902.9299651341,142.5,82493667.52003162,82493667.52003162
Afghanistan,AFG,Southern Asia,Health,Health care,Patient room,72316.84108556372,40251.081830880816,67754.13245673024,37717.37088074837,199.5,13516949.425117683,7524615.4907093
Afghanistan,AFG,Southern Asia,Retail,Commercial/Retail,Retail,753792.5124573184,57984.03941979373,695808.4730375247,53523.728695194215,114.0,79322165.92627782,6101705.07125214
Afghanistan,AFG,Southern Asia,Security,Commercial/Retail,Office,0.0,0.0,0.0,0.0,85.5,0.0,0.0
Afghanistan,AFG,Southern Asia,Transport,Commercial/Retail,Transportation waiting,373478.80164686014,305573.56498379464,77336.51953293568,63275.334163311025,171.0,13224544.840132002,10820082.141926186
Afghanistan,AFG,Southern Asia,Manual,Industrial,Manufacturing,635100.4048072014,281694.0307855579,395426.45680010587,172263.56918420142,142.5,56348270.094015084,24547558.608748704
Afghanistan,AFG,Southern Asia,Cleaning,Commercial/Retail,Office,36911.94156680029,3866.649709582132,24090.789621066015,1852.7696525081049,85.5,2059762.5126011441,158411.80528944297
Afghanistan,AFG,Southern Asia,Tech,Commercial/Retail,Office,41993.97096714687,2470.2335863027574,29167.28307026981,1715.7225335452827,85.5,2493802.7025080686,146694.27661812166
Afghanistan,AFG,Southern Asia,ArmedForces,Correctional facilities,Dayroom,103117.2330021567,41246.89320086268,103117.2330021567,41246.89320086268,114.0,11755364.562245864,4702145.824898345
Angola,AGO,Middle Africa,Food,Industrial,Manufacturing,6959286.560660433,6938296.083767504,577072.3225437246,563953.2744856448,142.5,82232805.96248075,80363341.61420438
Angola,AGO,Middle Africa,Health,Health care,Patient room,264872.2749970955,136509.1760299205,235529.70915476978,122857.74789041009,199.5,46988176.97637657,24510120.70413681
Angola,AGO,Middle Africa,Retail,Commercial/Retail,Retail,2885743.523061134,209553.4149919683,2514640.979903619,193433.9215310476,114.0,286669071.70901257,22051467.054539427
Angola,AGO,Middle Africa,Security,Commercial/Retail,Office,398023.8810330245,318419.1048264197,325052.83617697004,260042.268941576,85.5,27792017.493130937,22233613.99450475
Angola,AGO,Middle Africa,Transport,Commercial/Retail,Transportation waiting,588691.8188814804,481656.9427212113,121900.83118252877,99737.04369479629,171.0,20845042.13221242,17055034.471810166
Angola,AGO,Middle Africa,Manual,Industrial,Manufacturing,645336.0812504955,265070.335539732,397676.19952344237,181487.63023734998,142.5,56668858.432090536,25861987.30882237
